Age,HorseId,季初評分,avg_名次,avg_頭馬距離,avg_速度_mps,avg_獨贏賠率,races_counted,horse_win_rate,horse_win_place_rate
4,HK_2023_J336,48.0,6.571428571428571,4.083333333333333,17.035775127768314,20.0,0.0,0.0,0.0
4,HK_2024_K150,48.0,8.666666666666666,4.25,17.037627647447138,13.533333333333331,3.0,0.0,0.2
4,HK_2024_K277,48.0,6.0,3.65,17.144613984115797,8.040000000000001,5.0,0.0,0.0
4,HK_2024_K181,48.0,10.666666666666666,6.416666666666667,17.060183017020123,69.33333333333333,3.0,0.0,0.0
4,HK_2023_J123,48.0,4.0,2.333333333333333,17.230898343035236,24.666666666666668,4.0,0.125,0.125
4,HK_2023_J541,48.0,8.0,3.5,17.17272615737582,32.0,2.0,0.0,0.0
4,HK_2023_J464,48.0,8.25,6.25,16.693449069477794,56.5,4.0,0.0,0.0
4,HK_2023_J550,48.0,5.857142857142857,2.9285714285714284,17.05090699474972,9.685714285714283,7.0,0.0,0.25
4,HK_2024_K015,48.0,11.5,15.75,16.400309617461858,35.0,2.0,0.0,0.0
4,HK_2023_J456,48.0,5.666666666666667,3.4166666666666665,17.004349192903774,18.1,6.0,0.0,0.1333333333333333
4,HK_2024_K188,48.0,9.75,7.0,17.078766032223434,74.75,4.0,0.0,0.0
4,HK_2024_K216,48.0,7.333333333333333,3.583333333333333,17.260986334096483,7.899999999999999,3.0,0.0,0.0
4,HK_2024_K307,47.0,8.666666666666666,5.333333333333333,16.86337819967309,62.333333333333336,3.0,0.0,0.0
4,HK_2023_J328,47.0,9.5,6.541666666666667,16.7022954742961,32.5,6.0,0.0,0.0
4,HK_2024_K212,47.0,12.25,17.9375,16.62289609166611,103.75,5.0,0.0,0.0
4,HK_2023_J370,47.0,7.5,5.1875,17.122441072066664,38.0,4.0,0.0,0.1666666666666666
4,HK_2023_J129,47.0,8.333333333333334,6.833333333333333,16.74093850902805,84.66666666666667,3.0,0.0,0.0
4,HK_2024_K299,47.0,12.25,22.25,16.43856311226238,170.25,4.0,0.0,0.0
4,HK_2024_K121,47.0,6.666666666666667,2.9166666666666665,17.34251520556456,16.466666666666665,3.0,0.0,0.0
4,HK_2024_K250,47.0,11.0,7.125,16.999596844570746,43.5,2.0,0.0,0.0
4,HK_2024_K140,47.0,11.5,17.875,16.695171278499195,75.5,2.0,0.0,0.0
4,HK_2024_K243,49.0,10.666666666666666,12.5,16.82940419028791,128.66666666666666,3.0,0.0,0.0
4,HK_2024_K290,49.0,10.666666666666666,6.0,16.692496329740475,171.66666666666666,3.0,0.0,0.0
4,HK_2024_K104,47.0,10.666666666666666,7.583333333333333,16.885927149899874,176.0,3.0,0.0,0.0
4,HK_2024_K399,49.0,10.666666666666666,7.75,17.437151582562834,124.0,3.0,0.0,0.0
4,HK_2024_K042,47.0,9.0,8.333333333333334,16.99215142218206,74.33333333333333,3.0,0.0,0.0
4,HK_2024_K064,47.0,7.75,3.9375,17.191844521521517,16.8,4.0,0.0,0.0
4,HK_2024_K038,47.0,6.0,3.4,17.110394274984223,12.3,5.0,0.0,0.4285714285714285
4,HK_2024_K273,49.0,11.0,16.166666666666668,16.2480326872054,104.66666666666669,3.0,0.0,0.0
4,HK_2023_J373,47.0,10.5,6.625,17.176531598239954,76.0,2.0,0.0,0.0
