TrainerId,trainer_win_rate,trainer_win_place_rate
BOM,100.0,100.0
HN,25.0,100.0
SJJ,10.802469135802468,32.098765432098766
MKL,10.672853828306264,24.593967517401392
FC,10.037174721189592,28.438661710037177
LKW,9.92063492063492,27.579365079365083
EDJ,9.67741935483871,26.344086021505376
HDA,9.30232558139535,26.889534883720927
YPF,9.245283018867925,29.433962264150946
NM,9.181636726546904,28.942115768463072
MWK,8.55397148676171,23.828920570264767
SWY,8.24524312896406,23.25581395348837
LFC,8.159722222222223,24.82638888888889
SCS,7.977736549165121,22.634508348794064
YCH,7.874015748031496,19.42257217847769
CAS,7.646176911544228,24.28785607196402
TKH,7.575757575757576,21.96969696969697
RW,7.012987012987012,21.298701298701296
WDJ,6.477732793522267,20.242914979757085
NPC,6.1443932411674345,22.734254992319507
TYS,6.0,19.666666666666664
HAD,5.921052631578947,23.026315789473685
CCW,5.8988764044943816,19.662921348314608
YTP,5.276381909547738,19.09547738693467
OBA,0.0,0.0
MCL,0.0,0.0
LCY,0.0,0.0
HAY,0.0,0.0
FA,0.0,0.0
FAS,0.0,0.0
BA,0.0,0.0
SHA,0.0,0.0
KUS,0.0,100.0
EH,0.0,0.0
IKY,0.0,100.0
HW,0.0,50.0
NAM,0.0,66.66666666666666
GFH,0.0,0.0
GJP,0.0,0.0
NFA,0.0,100.0
SHE,0.0,0.0
FH,0.0,0.0
WNB,0.0,0.0
TTO,0.0,0.0
GTJ,0.0,0.0
MSB,0.0,0.0
FAR,0.0,0.0
BER,0.0,0.0
IM,0.0,0.0
YOK,0.0,0.0
REJ,0.0,0.0
FEJ,0.0,0.0
TMI,0.0,0.0
CBJ,0.0,100.0
